               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.71383,             0.64427,             0.71969,             0.47916,            0.040641,             0.03663,           0.0094937,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061739,            0.017214,              0.7375,             0.65104,             0.75065,             0.50138,            0.040073,            0.036015,           0.0085639,            0.086485,           0.0014851,           0.0014851
                   2,            0.044755,            0.070137,            0.015992,             0.83084,             0.62453,             0.75742,             0.50499,            0.039818,            0.035407,           0.0078325,            0.079254,           0.0022545,           0.0022545
                   3,            0.044039,            0.062045,            0.013604,             0.82535,             0.64794,             0.76262,             0.51048,            0.040074,             0.03519,           0.0072679,            0.072008,           0.0030079,           0.0030079
                   4,            0.044533,            0.060822,            0.013259,             0.79338,             0.68062,             0.77375,             0.51265,            0.039878,            0.034625,           0.0066978,            0.064746,           0.0037456,           0.0037456
                   5,            0.045329,            0.056116,             0.01364,             0.78027,             0.71123,             0.79634,             0.50046,            0.041733,            0.033276,            0.006199,            0.057467,           0.0044673,           0.0044673
                   6,            0.045301,            0.050454,            0.013335,             0.75041,             0.71116,             0.78039,             0.47361,            0.043357,            0.033109,            0.006025,            0.050173,           0.0051733,           0.0051733
                   7,             0.04787,            0.060113,            0.010304,             0.77323,             0.71284,             0.78794,             0.48415,            0.043614,            0.032564,           0.0055071,            0.042863,           0.0058634,           0.0058634
                   8,            0.047666,            0.058363,            0.012361,             0.74287,             0.73517,             0.79066,             0.49512,            0.044203,            0.032429,           0.0053122,            0.035538,           0.0065377,           0.0065377
                   9,            0.046253,              0.0546,            0.010054,             0.76294,              0.7808,             0.81175,             0.52802,            0.042492,            0.031794,           0.0051925,            0.028196,           0.0071961,           0.0071961
                  10,            0.047882,            0.062227,            0.010089,             0.72816,             0.77967,             0.79898,             0.49633,            0.046456,            0.030468,           0.0050332,            0.020839,           0.0078387,           0.0078387
                  11,            0.047801,            0.055037,           0.0097665,              0.7479,              0.7841,             0.80965,             0.52142,              0.0434,            0.030074,            0.005099,            0.013465,           0.0084655,           0.0084655
                  12,            0.045859,            0.049735,            0.011633,             0.75062,             0.76167,             0.80998,             0.51687,            0.044491,            0.029424,            0.005014,            0.008812,            0.008812,            0.008812
                  13,            0.047277,            0.055215,            0.011111,             0.81764,             0.77444,             0.83257,             0.55414,            0.040878,            0.029506,           0.0051361,            0.008812,            0.008812,            0.008812
                  14,            0.044427,            0.048385,           0.0097328,              0.7552,             0.70934,             0.78666,             0.51377,            0.043788,            0.030938,           0.0062002,            0.008713,            0.008713,            0.008713
                  15,            0.044029,            0.051428,           0.0094785,             0.72684,             0.80738,             0.83265,             0.53793,            0.041417,            0.029336,           0.0052642,            0.008614,            0.008614,            0.008614
                  16,            0.045463,            0.048437,           0.0097838,             0.80488,             0.73283,             0.82934,             0.54362,            0.040505,            0.029838,           0.0052371,            0.008515,            0.008515,            0.008515
                  17,            0.043476,            0.048672,           0.0099634,             0.84773,             0.79862,              0.8641,             0.56896,            0.039138,            0.028844,           0.0047967,            0.008416,            0.008416,            0.008416
                  18,            0.042983,            0.049365,           0.0099179,             0.84323,             0.81575,             0.86863,             0.56741,            0.039143,            0.028618,           0.0047579,            0.008317,            0.008317,            0.008317
                  19,             0.04254,            0.048923,            0.010505,             0.83051,             0.81844,             0.87019,             0.56651,            0.041565,            0.028198,           0.0046678,            0.008218,            0.008218,            0.008218
                  20,             0.04326,            0.046851,           0.0097109,             0.83224,             0.83239,             0.87411,             0.55656,            0.040042,             0.02778,           0.0045396,            0.008119,            0.008119,            0.008119
                  21,            0.045539,            0.045603,            0.008968,              0.8115,             0.83186,             0.87226,             0.57288,            0.039929,            0.027999,           0.0045394,             0.00802,             0.00802,             0.00802
                  22,            0.043333,            0.049697,           0.0092099,             0.81549,             0.84029,             0.88187,             0.57737,            0.038236,             0.02698,           0.0043197,            0.007921,            0.007921,            0.007921
                  23,            0.042176,            0.045918,           0.0080789,             0.85351,              0.8115,             0.88175,             0.57622,            0.039005,            0.026717,           0.0044353,            0.007822,            0.007822,            0.007822
                  24,            0.040912,              0.0487,           0.0090932,             0.81839,             0.83982,             0.87504,             0.57505,            0.037818,            0.026229,           0.0044319,            0.007723,            0.007723,            0.007723
                  25,            0.042772,            0.040267,           0.0088973,             0.83989,             0.80695,             0.87779,              0.5801,            0.039642,            0.026562,           0.0042525,            0.007624,            0.007624,            0.007624
                  26,            0.042633,            0.049788,           0.0076738,             0.85691,              0.8101,              0.8857,             0.60209,            0.037213,            0.026284,           0.0041907,            0.007525,            0.007525,            0.007525
                  27,            0.042373,            0.052139,           0.0075463,             0.87972,             0.79972,             0.88945,             0.58958,            0.037755,            0.026569,           0.0041434,            0.007426,            0.007426,            0.007426
                  28,            0.043948,            0.050039,           0.0089303,              0.8763,             0.80954,             0.88946,             0.59995,            0.036685,            0.026129,           0.0040744,            0.007327,            0.007327,            0.007327
                  29,            0.040341,            0.045709,           0.0082008,             0.85869,             0.82558,             0.90498,             0.60852,            0.036195,            0.025677,           0.0040551,            0.007228,            0.007228,            0.007228
                  30,            0.041445,            0.045343,           0.0072146,             0.86553,             0.82129,             0.89342,             0.60182,            0.036689,            0.026019,           0.0040537,            0.007129,            0.007129,            0.007129
                  31,            0.041842,            0.050474,           0.0077161,             0.88261,             0.82671,             0.91191,             0.61967,            0.035947,            0.024778,           0.0039964,             0.00703,             0.00703,             0.00703
                  32,            0.040741,            0.043994,           0.0082022,              0.8769,             0.83101,             0.90003,             0.61026,            0.036051,             0.02488,           0.0040499,            0.006931,            0.006931,            0.006931
                  33,            0.041891,            0.047802,           0.0074843,             0.87763,             0.83811,             0.90629,             0.61878,            0.035191,            0.024603,            0.003969,            0.006832,            0.006832,            0.006832
                  34,            0.041728,            0.047401,           0.0075642,             0.88066,             0.82441,             0.89824,             0.60895,            0.035327,            0.024413,           0.0040042,            0.006733,            0.006733,            0.006733
                  35,            0.040038,            0.047294,           0.0073389,             0.89699,              0.8332,             0.90338,              0.6147,            0.035051,             0.02455,            0.003854,            0.006634,            0.006634,            0.006634
                  36,            0.040788,            0.045684,           0.0068328,             0.88834,             0.83837,             0.90692,             0.63182,            0.034582,             0.02431,           0.0037609,            0.006535,            0.006535,            0.006535
                  37,            0.039832,            0.044982,           0.0070005,             0.88504,             0.83181,             0.90395,             0.61898,            0.035506,            0.024198,           0.0037299,            0.006436,            0.006436,            0.006436
                  38,            0.039579,            0.045391,           0.0064198,             0.89178,             0.82906,              0.9175,             0.64924,            0.034515,            0.024347,           0.0037452,            0.006337,            0.006337,            0.006337
                  39,            0.039616,             0.04441,           0.0065925,             0.91297,             0.83741,              0.9178,             0.65328,            0.033499,            0.024381,           0.0036988,            0.006238,            0.006238,            0.006238
                  40,            0.038246,            0.043447,           0.0075046,             0.90833,             0.84981,             0.91681,             0.63325,            0.033978,            0.023864,           0.0036014,            0.006139,            0.006139,            0.006139
                  41,             0.03919,            0.042043,           0.0070568,             0.88299,             0.86061,             0.91117,             0.66238,            0.033111,            0.023788,           0.0034716,             0.00604,             0.00604,             0.00604
                  42,            0.038312,              0.0429,           0.0066676,             0.88163,             0.85777,             0.91854,             0.64144,            0.033111,            0.023881,           0.0034242,            0.005941,            0.005941,            0.005941
                  43,            0.037139,            0.043613,           0.0064135,             0.88507,             0.85852,             0.90427,             0.64412,            0.033316,             0.02372,           0.0034158,            0.005842,            0.005842,            0.005842
                  44,            0.038775,            0.044228,           0.0071938,             0.89718,             0.86059,             0.91082,             0.64651,            0.032649,            0.023575,           0.0034554,            0.005743,            0.005743,            0.005743
                  45,            0.037528,            0.036831,            0.006621,             0.89947,             0.85892,             0.91703,             0.66036,            0.032225,            0.023274,           0.0034884,            0.005644,            0.005644,            0.005644
                  46,            0.037411,            0.041391,           0.0059998,             0.87409,             0.87565,             0.91638,             0.66635,            0.032904,            0.022953,           0.0034759,            0.005545,            0.005545,            0.005545
                  47,            0.035409,             0.04064,           0.0063295,             0.86282,              0.8842,             0.93149,             0.66478,            0.031499,            0.022673,           0.0034748,            0.005446,            0.005446,            0.005446
                  48,            0.036754,            0.038541,           0.0059335,             0.89999,             0.87163,             0.92468,             0.66531,            0.032668,            0.022555,            0.003465,            0.005347,            0.005347,            0.005347
                  49,            0.036112,            0.039143,           0.0060084,             0.90095,             0.86659,              0.9251,             0.66586,            0.032284,            0.022314,           0.0034595,            0.005248,            0.005248,            0.005248
                  50,            0.037254,            0.037579,             0.00669,             0.90337,             0.86582,             0.92914,             0.66575,            0.032152,            0.022295,           0.0034737,            0.005149,            0.005149,            0.005149
                  51,            0.037636,            0.043478,           0.0066703,             0.90181,             0.87006,             0.92791,             0.67924,            0.030956,            0.022065,           0.0034179,             0.00505,             0.00505,             0.00505
                  52,            0.036599,            0.040683,           0.0059703,             0.91227,             0.85134,             0.92435,             0.67584,            0.031594,            0.021856,           0.0033284,            0.004951,            0.004951,            0.004951
                  53,              0.0356,             0.03805,           0.0063228,             0.91721,             0.86246,             0.92735,             0.67636,            0.031061,            0.021685,           0.0033205,            0.004852,            0.004852,            0.004852
                  54,            0.036777,            0.036923,           0.0073367,             0.90648,             0.85656,             0.92546,             0.66653,             0.03088,            0.021766,           0.0033048,            0.004753,            0.004753,            0.004753
                  55,            0.036486,            0.039543,           0.0065813,             0.88546,             0.87909,             0.93091,             0.66911,             0.03134,            0.021754,           0.0032315,            0.004654,            0.004654,            0.004654
                  56,            0.035897,            0.039754,           0.0063989,             0.88367,             0.86888,             0.92619,             0.67773,            0.030971,            0.021728,           0.0032014,            0.004555,            0.004555,            0.004555
                  57,            0.036166,            0.035322,           0.0064921,             0.88551,             0.86325,             0.91747,             0.67051,            0.031192,            0.021845,           0.0031949,            0.004456,            0.004456,            0.004456
                  58,            0.034979,            0.043247,           0.0068684,              0.8767,             0.90597,             0.93727,             0.68661,            0.029503,            0.021476,           0.0031432,            0.004357,            0.004357,            0.004357
                  59,            0.034884,            0.036182,           0.0056198,             0.92472,             0.87379,             0.94503,             0.69528,            0.029503,            0.021453,           0.0030611,            0.004258,            0.004258,            0.004258
                  60,            0.034906,            0.037352,           0.0060347,              0.9194,             0.87702,             0.94825,             0.69923,            0.030067,            0.021413,           0.0030086,            0.004159,            0.004159,            0.004159
                  61,            0.034817,            0.040693,           0.0056931,             0.92698,             0.88282,             0.94783,             0.70132,            0.029334,            0.021312,           0.0029827,             0.00406,             0.00406,             0.00406
                  62,            0.036154,            0.037789,           0.0064334,             0.91741,             0.89069,             0.95292,             0.71232,            0.028989,             0.02106,            0.002967,            0.003961,            0.003961,            0.003961
                  63,            0.033936,            0.039705,           0.0051966,             0.89452,             0.89957,             0.94907,             0.70846,            0.028937,            0.020914,           0.0029487,            0.003862,            0.003862,            0.003862
