               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087521,            0.041508,            0.031505,             0.50008,             0.32958,             0.22709,            0.082739,            0.062878,            0.026356,            0.017666,            0.070038,           0.0033292,           0.0033292
                   1,            0.063868,            0.032613,            0.013862,             0.47818,             0.54889,             0.50222,             0.19711,            0.054639,            0.022147,           0.0081084,            0.039738,           0.0063627,           0.0063627
                   2,            0.058079,            0.029942,           0.0095007,             0.63257,             0.59306,             0.61178,             0.24531,            0.050589,            0.021682,           0.0071998,            0.009138,           0.0090962,           0.0090962
                   3,            0.052327,            0.030095,           0.0081284,              0.7437,             0.65243,             0.69907,             0.32861,            0.043607,            0.021987,           0.0060733,             0.00865,             0.00865,             0.00865
                   4,            0.048283,            0.029104,           0.0074188,             0.69485,             0.63246,             0.66516,             0.29153,            0.045046,            0.022082,           0.0055133,             0.00865,             0.00865,             0.00865
                   5,            0.045756,            0.028947,           0.0065171,             0.73197,             0.68313,             0.72354,             0.34757,            0.040924,            0.021198,           0.0044254,              0.0082,              0.0082,              0.0082
                   6,            0.043782,            0.028573,           0.0057743,             0.77945,             0.63986,              0.7169,             0.33933,            0.041389,            0.021336,           0.0047321,             0.00775,             0.00775,             0.00775
                   7,            0.042372,            0.027624,           0.0051426,              0.8196,             0.68512,             0.75301,             0.37519,             0.03951,            0.020674,           0.0036252,              0.0073,              0.0073,              0.0073
                   8,            0.041112,            0.027245,           0.0046405,             0.81435,              0.7006,             0.75948,             0.37458,             0.04031,            0.020853,            0.003871,             0.00685,             0.00685,             0.00685
                   9,            0.040544,            0.027026,           0.0043527,             0.82315,             0.70323,             0.75919,             0.37972,            0.039178,            0.020263,           0.0038069,              0.0064,              0.0064,              0.0064
                  10,            0.038685,            0.026568,           0.0040741,             0.83437,             0.74124,             0.79039,             0.39435,            0.038376,             0.02026,           0.0039738,             0.00595,             0.00595,             0.00595
                  11,            0.038298,            0.026286,           0.0036987,             0.80315,             0.74836,             0.78946,              0.3939,            0.038985,            0.020332,           0.0034558,              0.0055,              0.0055,              0.0055
                  12,            0.037613,             0.02609,           0.0037356,             0.83873,              0.7309,             0.78379,             0.40159,            0.037501,             0.02031,            0.003155,             0.00505,             0.00505,             0.00505
                  13,            0.036425,             0.02562,           0.0032266,             0.83508,             0.76238,             0.80515,             0.42271,            0.036462,            0.019729,           0.0031224,              0.0046,              0.0046,              0.0046
                  14,            0.035812,            0.025663,           0.0031079,             0.87494,             0.77375,             0.83141,             0.43274,            0.035844,            0.019168,           0.0024111,             0.00415,             0.00415,             0.00415
                  15,            0.035248,            0.025022,           0.0029877,             0.81252,             0.78926,             0.82262,             0.42734,            0.035854,            0.019544,           0.0027671,              0.0037,              0.0037,              0.0037
                  16,            0.034177,            0.024275,           0.0025194,             0.83709,             0.77766,             0.80496,             0.43105,            0.035742,             0.01943,           0.0028692,             0.00325,             0.00325,             0.00325
                  17,            0.033525,            0.024259,           0.0025063,             0.89449,             0.78878,             0.84795,             0.43616,            0.035412,            0.019199,           0.0025559,              0.0028,              0.0028,              0.0028
                  18,            0.033376,            0.024076,           0.0023672,             0.86207,             0.77336,             0.82038,             0.44037,            0.035159,            0.019032,           0.0023559,             0.00235,             0.00235,             0.00235
                  19,            0.032812,             0.02372,           0.0021661,             0.86143,             0.79948,             0.83775,             0.45266,             0.03454,            0.019189,            0.002405,              0.0019,              0.0019,              0.0019
                  20,            0.032213,            0.023119,           0.0019658,               0.875,             0.79813,               0.843,             0.45003,            0.034668,            0.019057,           0.0022917,             0.00145,             0.00145,             0.00145
                  21,            0.031813,            0.023356,           0.0020238,             0.87199,             0.79961,             0.83078,             0.45647,             0.03438,            0.019149,           0.0022157,               0.001,               0.001,               0.001
